date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:15	5452/5452	---M--	200	added ('OK')	text/css	etag:%220a13276d28d8e64032d2fb7d9f1a3737%22	https://d2eanzqpmoo3ec.cloudfront.net/newcss/modal.css?v=1.0.4	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newcss/modale166.css	(from https://www.wedmegood.com/)
23:00:16	913/913	---M--	200	added ('OK')	text/css	etag:%22511e0865436e2e6aac01a9d0d6d61f22%22	https://d2eanzqpmoo3ec.cloudfront.net/css/tinybox/style.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/css/tinybox/style.css	(from https://www.wedmegood.com/)
23:00:16	8517/8517	---M--	200	added ('OK')	text/css	etag:%225dcce14c5b263c9e0aee05185437ef9d%22	https://d2eanzqpmoo3ec.cloudfront.net/newcss/magnificpopup.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newcss/magnificpopup.css	(from https://www.wedmegood.com/)
23:00:16	35211/35211	---M--	200	added ('OK')	text/css	etag:%22f5143e5fdff98a9f035bc274e5e7c62f%22	https://d2eanzqpmoo3ec.cloudfront.net/newcss/jquery-ui.css	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/newcss/jquery-ui.css	(from https://www.wedmegood.com/)
23:00:17	3104/3104	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Aug%202015%2012:19:18%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery.perfect-scrollbar/0.6.5/css/perfect-scrollbar.min.css	C:/My%20Web%20Sites/ShaddiJugaad/cdnjs.cloudflare.com/ajax/libs/jquery.perfect-scrollbar/0.6.5/css/perfect-scrollbar.min.css	(from https://www.wedmegood.com/)
23:00:19	22333/22333	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2015%20Feb%202016%2017:31:40%20GMT	http://use.typekit.net/xoi8dvy.js	C:/My%20Web%20Sites/ShaddiJugaad/use.typekit.net/xoi8dvy.js	(from https://www.wedmegood.com/)
23:00:19	3066/3066	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219199360f7d4c6248955f0f1613504da%22	http://connect.facebook.net/en_US/fbds.js	C:/My%20Web%20Sites/ShaddiJugaad/connect.facebook.net/en_US/fbds.js	(from https://www.wedmegood.com/)
23:00:19	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Feb%202016%2017:31:40%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ShaddiJugaad/www.googletagmanager.com/gtm.195445.delayed	(from https://www.wedmegood.com/)
23:00:19	4291/4291	---MCZ	200	added ('OK')	text/css	etag:%2210c3-52a243d66c583-gzip%22	https://www.wedmegood.com/newUI/vendordashboard.css	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/newUI/vendordashboard.css	(from https://www.wedmegood.com/)
23:00:20	49966/49966	---M--	200	added ('OK')	image/png	etag:%220c0e213c0e158186fd90f814824f8d76%22	https://d2eanzqpmoo3ec.cloudfront.net/images/vendor-alt.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/vendor-alt.png	(from https://www.wedmegood.com/)
23:00:21	271442/271442	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:41%20GMT	https://www.wedmegood.com/vendors	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/vendors.html	(from https://www.wedmegood.com/)
23:00:21	52508/52508	---M--	200	added ('OK')	image/png	etag:%22dd13705da89c418abb95aec05387af62%22	https://d2eanzqpmoo3ec.cloudfront.net/images/realweddings-alt.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/realweddings-alt.png	(from https://www.wedmegood.com/)
23:00:22	84895/84895	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:43%20GMT	https://www.wedmegood.com/real_wedding/	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/real_wedding/index.html	(from https://www.wedmegood.com/)
23:00:22	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Feb%202016%2017:31:43%20GMT	https://www.wedmegood.com/blog	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/blog.1d.delayed	(from https://www.wedmegood.com/)
23:00:22	49457/49457	---M--	200	added ('OK')	image/png	etag:%2289addcd1b3d6b96e64ddd5798f92aa7e%22	https://d2eanzqpmoo3ec.cloudfront.net/images/articles-alt.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/articles-alt.png	(from https://www.wedmegood.com/)
23:00:23	120115/120115	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:11:55%20GMT	https://www.wedmegood.com/blog/	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/blog/index.html	(from https://www.wedmegood.com/)
23:00:23	49946/49946	---M--	200	added ('OK')	image/png	etag:%22572082e5e86aa8287b91f17f71f98772%22	https://d2eanzqpmoo3ec.cloudfront.net/images/photos-alt.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/photos-alt.png	(from https://www.wedmegood.com/)
23:00:24	115330/115330	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:44%20GMT	https://www.wedmegood.com/explore_browse	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse.html	(from https://www.wedmegood.com/)
23:00:24	14589/14589	---M--	200	added ('OK')	image/png	etag:%2238fd-52a243d66a643%22	https://www.wedmegood.com/images/wedlogo.png	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/images/wedlogo.png	(from https://www.wedmegood.com/)
23:00:25	9614/9614	---M--	200	added ('OK')	image/png	etag:%22258e-52a243d668703%22	https://www.wedmegood.com/images/androidDownload.png	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/images/androidDownload.png	(from https://www.wedmegood.com/)
23:00:25	1222/1222	---M--	200	added ('OK')	image/png	etag:%224c6-52a243d6696a3%22	https://www.wedmegood.com/images/appleDownload.png	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/images/appleDownload.png	(from https://www.wedmegood.com/)
23:00:26	3078/3078	---M--	200	added ('OK')	image/svg+xml	etag:%22c06-52a243d66a643%22	https://www.wedmegood.com/images/spin.svg	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/images/spin.svg	(from https://www.wedmegood.com/)
23:00:26	2257/2257	---M--	200	added ('OK')	image/png	etag:%22149dac2baf94a959a91320d649b50529%22	https://d2eanzqpmoo3ec.cloudfront.net/images/logo.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/logo.png	(from https://www.wedmegood.com/)
